City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
60,Faya,SA,2021-08-26 22:24:17,18.3851,42.4509,69.91,30,3,7.9,clear sky
61,Nikolskoye,RU,2021-08-26 22:24:17,59.7035,30.7861,57.09,76,100,8.14,overcast clouds
62,Ribeira Grande,PT,2021-08-26 22:24:17,38.5167,-28.7,70.05,66,88,14.12,overcast clouds
63,Lamu,KE,2021-08-26 22:24:18,-2.2717,40.902,71.82,85,55,15.37,light rain
64,Bengkulu,ID,2021-08-26 22:24:18,-3.8004,102.2655,73.9,85,10,4.32,clear sky
65,Severo-Kurilsk,RU,2021-08-26 22:24:19,50.6789,156.125,55.65,84,100,3.67,overcast clouds
66,Kidal,ML,2021-08-26 22:24:19,18.4411,1.4078,92.28,35,94,8.01,overcast clouds
67,Tura,IN,2021-08-26 22:24:19,25.5198,90.2201,73.6,99,100,3.98,light rain
68,Prado,BR,2021-08-26 22:24:20,-17.3411,-39.2208,73.78,81,0,10.69,clear sky
69,Wick,GB,2021-08-26 22:24:20,58.4333,-3.0833,51.85,82,90,3.44,overcast clouds
70,Chara,RU,2021-08-26 22:24:21,56.9064,118.2631,54.23,75,88,2.1,overcast clouds
71,Jamestown,US,2021-08-26 22:15:52,42.097,-79.2353,85.32,69,20,4.0,few clouds
72,Bonthe,SL,2021-08-26 22:24:21,7.5264,-12.505,77.07,87,100,6.8,moderate rain
73,Bredasdorp,ZA,2021-08-26 22:24:22,-34.5322,20.0403,47.52,87,100,8.05,moderate rain
74,Salalah,OM,2021-08-26 22:24:22,17.0151,54.0924,78.89,89,75,4.61,broken clouds
75,Thompson,CA,2021-08-26 22:24:22,55.7435,-97.8558,68.16,37,40,12.66,scattered clouds
76,Tres Lagoas,BR,2021-08-26 22:24:23,-20.7511,-51.6783,79.84,39,88,6.93,overcast clouds
77,Dhidhdhoo,MV,2021-08-26 22:24:23,6.8833,73.1,82.35,78,100,18.39,overcast clouds
78,Tome,CL,2021-08-26 22:24:24,-36.6167,-72.95,52.41,70,56,2.06,broken clouds
79,Guangyuan,CN,2021-08-26 22:24:24,32.442,105.823,65.08,96,75,0.74,broken clouds
80,Akyab,MM,2021-08-26 22:24:25,20.15,92.9,80.76,84,97,12.73,overcast clouds
81,Okulovka,RU,2021-08-26 22:24:25,58.4008,33.2908,52.65,89,100,8.08,overcast clouds
82,Port Hedland,AU,2021-08-26 22:24:25,-20.3167,118.5667,57.25,82,99,4.61,overcast clouds
83,Brookhaven,US,2021-08-26 22:24:26,31.5791,-90.4407,85.66,69,74,5.61,broken clouds
84,Kendari,ID,2021-08-26 22:24:11,-3.945,122.4989,72.99,95,100,2.73,light rain
85,Shadegan,IR,2021-08-26 22:24:26,30.6497,48.6647,98.51,10,0,12.21,clear sky
86,Souillac,MU,2021-08-26 22:24:27,-20.5167,57.5167,66.58,94,75,3.44,broken clouds
87,Goshen,US,2021-08-26 22:24:27,41.5823,-85.8344,87.69,65,75,3.44,broken clouds
88,Khandyga,RU,2021-08-26 22:24:27,62.6667,135.6,52.57,94,100,6.78,light rain
89,Mandalgovi,MN,2021-08-26 22:24:28,45.7625,106.2708,43.92,88,43,12.93,scattered clouds
90,Geraldton,AU,2021-08-26 22:24:28,-28.7667,114.6,52.21,93,90,6.91,overcast clouds
91,San Patricio,US,2021-08-26 22:24:29,28.017,-97.5169,96.03,50,95,8.63,overcast clouds
92,Basco,PH,2021-08-26 22:24:29,20.4487,121.9702,84.11,76,68,16.58,broken clouds
93,Damghan,IR,2021-08-26 22:24:29,36.1683,54.348,77.83,48,10,1.25,clear sky
94,Nemuro,JP,2021-08-26 22:24:30,43.3236,145.575,62.47,95,100,4.99,overcast clouds
95,Grafton,US,2021-08-26 22:24:30,42.207,-71.6856,91.62,65,1,6.91,clear sky
96,Marienburg,PL,2021-08-26 22:24:31,54.0359,19.0266,56.88,89,84,3.0,moderate rain
97,Tongliao,CN,2021-08-26 22:24:31,43.6125,122.2653,58.03,80,1,11.59,clear sky
98,Dikson,RU,2021-08-26 22:24:31,73.5069,80.5464,37.17,77,80,14.85,broken clouds
99,Namibe,AO,2021-08-26 22:24:32,-15.1961,12.1522,60.64,85,87,7.9,overcast clouds
100,Kununurra,AU,2021-08-26 22:24:32,-15.7667,128.7333,68.92,28,46,4.34,scattered clouds
101,Syamzha,RU,2021-08-26 22:24:33,60.0158,41.0614,44.33,96,8,5.91,clear sky
102,Menongue,AO,2021-08-26 22:24:33,-14.6585,17.691,64.44,31,84,2.15,broken clouds
103,Ipixuna,BR,2021-08-26 22:24:33,-1.7625,-48.8043,76.95,95,76,4.65,broken clouds
104,Fortuna,US,2021-08-26 22:24:34,40.5982,-124.1573,83.43,66,1,8.01,clear sky
105,Upernavik,GL,2021-08-26 22:24:34,72.7868,-56.1549,38.73,97,100,10.71,overcast clouds
106,Longyearbyen,SJ,2021-08-26 22:24:35,78.2186,15.6401,40.84,93,75,5.75,broken clouds
107,East Bethel,US,2021-08-26 22:24:35,45.3194,-93.2025,71.85,74,75,1.01,broken clouds
108,Kindu,CD,2021-08-26 22:24:35,-2.95,25.95,75.78,62,11,1.88,few clouds
109,Padang,ID,2021-08-26 22:24:36,-0.9492,100.3543,75.96,88,75,4.07,broken clouds
110,Leningradskiy,RU,2021-08-26 22:24:36,69.3833,178.4167,37.0,72,100,18.99,overcast clouds
111,Bara,NG,2021-08-26 22:24:37,10.3744,10.7288,75.11,87,70,5.57,broken clouds
112,Ambilobe,MG,2021-08-26 22:24:37,-13.2,49.05,64.51,81,0,4.23,clear sky
113,Provideniya,RU,2021-08-26 22:24:37,64.3833,-173.3,42.91,56,0,6.71,clear sky
114,Tasiilaq,GL,2021-08-26 22:24:38,65.6145,-37.6368,50.16,95,100,14.09,moderate rain
115,Baracatan,PH,2021-08-26 22:24:38,6.9675,125.4158,72.16,87,96,2.68,overcast clouds
116,Gamba,GA,2021-08-26 22:24:39,-2.65,10.0,74.86,85,55,5.48,broken clouds
117,Mana,GF,2021-08-26 22:24:39,5.6592,-53.7767,79.92,79,30,5.7,scattered clouds
118,Stonewall,CA,2021-08-26 22:24:40,50.1344,-97.3268,65.98,42,99,8.81,overcast clouds
119,Mantua,IT,2021-08-26 22:24:40,45.1667,10.7833,74.44,76,29,5.99,scattered clouds
120,Jiaonan,CN,2021-08-26 22:24:40,35.8786,119.9753,69.82,92,100,4.94,moderate rain
