City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
170,Goderich,CA,80.2,clear sky,43.7501,-81.7165,Harmony Inn
171,Rondonopolis,BR,86.54,light rain,-16.4708,-54.6356,Serras Hotel
172,Rajura,IN,76.8,overcast clouds,19.7833,79.3667,Bharat Lodge And Restaurant
173,Coahuayana,MX,89.08,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
174,Sola,VU,78.64,broken clouds,-13.8833,167.55,Leumerus Bungalows
175,Acapulco,MX,87.62,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
177,Moyale,KE,68.25,clear sky,3.5167,39.0584,La Tahzan Guest House
178,Ballina,AU,57.78,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
180,Cockburn Town,TC,82.35,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
181,Kazanskoye,RU,67.19,scattered clouds,55.6448,69.235,Uyutnaya
182,Tezu,IN,73.83,overcast clouds,27.9167,96.1667,Circuit House
183,Ahuimanu,US,87.51,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
184,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
190,Northam,GB,63.01,few clouds,51.0333,-4.2167,Durrant House Hotel
191,Sambava,MG,65.7,clear sky,-14.2667,50.1667,Melrose
192,Vondrozo,MG,60.31,light rain,-22.8167,47.2833,
193,Arraial Do Cabo,BR,73.36,clear sky,-22.9661,-42.0278,Pousada Porto Praia
195,Saint-Raphael,HT,81.77,broken clouds,19.4333,-72.2,Adouly Hôtel
196,Cumberland,US,91.9,clear sky,35.0502,-78.8664,American Eagle Inn
197,Bambous Virieux,MU,66.45,broken clouds,-20.3428,57.7575,Casa Tia Villa
198,Shu,KZ,73.99,scattered clouds,43.5983,73.7614,Shyngyzkhan
199,Parainen,FI,56.14,overcast clouds,60.3067,22.301,Hotell Kalkstrand
200,Guerrero Negro,MX,85.17,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
202,Sillod,IN,71.58,overcast clouds,20.3,75.65,पवन
203,Palmer,US,92.01,scattered clouds,42.1584,-72.3287,Wedgewood Motel
204,Samana,DO,85.96,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
205,Cascais,PT,69.48,clear sky,38.6979,-9.4215,Hotel Vila Galé Cascais
207,Kokomo,US,85.91,moderate rain,40.4864,-86.1336,Hampton Inn & Suites Kokomo
208,Faanui,PF,79.47,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
212,Ust-Tarka,RU,63.95,clear sky,55.5672,75.705,Pearl of Siberia
213,Sao Filipe,CV,78.71,overcast clouds,14.8961,-24.4956,Hotel Xaguate
216,San Rafael,AR,61.66,broken clouds,-34.6177,-68.3301,Hotel San Rafael
219,Nykoping,SE,55.69,light rain,58.753,17.0079,Clarion Collection Hotel Kompaniet
221,Acarau,BR,79.3,clear sky,-2.8856,-40.12,castelo pizzaria
225,Fairbanks,US,57.54,scattered clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
226,Lagoa,PT,68.97,overcast clouds,39.05,-27.9833,Casa Das Faias
227,Xichang,CN,60.06,light rain,27.8964,102.2634,Xichang ibis Hotel
229,Aswan,EG,89.31,clear sky,24.0934,32.907,Nuba Nile
231,Khani,GE,62.17,clear sky,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
232,Myitkyina,MM,73.81,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
233,Hasaki,JP,81.0,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
234,Avera,US,91.74,clear sky,33.194,-82.5271,
235,Hithadhoo,MV,81.68,overcast clouds,-0.6,73.0833,Scoop Guest House
237,Alofi,NU,71.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
238,Straseni,MD,58.42,light rain,47.1414,28.6103,Castania Holiday Homes
239,Fort Collins,US,89.85,clear sky,40.5853,-105.0844,Best Western University Inn
240,Machali,CL,56.48,clear sky,-34.1833,-70.6667,Mining House
241,Never,FR,62.35,clear sky,46.9896,3.159,Hôtel Kyriad Nevers Centre
242,Bucerias,MX,88.99,broken clouds,20.75,-105.3333,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
243,Tobol,KZ,67.73,clear sky,52.6844,62.5794,Tobol Gostinitsa
244,Shiyan,CN,63.52,light rain,32.6475,110.7781,Fenghuang Garden Holiday Hotel
248,Akureyri,IS,57.13,clear sky,65.6835,-18.0878,Icelandair Hotel Akureyri
249,Yeppoon,AU,58.78,clear sky,-23.1333,150.7333,Villa Mar Colina
250,Antofagasta,CL,58.28,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
252,Manakara,MG,67.59,scattered clouds,-22.1333,48.0167,La Residence Manakara
253,Ketchikan,US,61.27,light rain,55.3422,-131.6461,Snow's Cove Lodge
254,Coreau,BR,84.29,few clouds,-3.5333,-40.6567,LOJA E POUSADA CARCARÁ
255,Tibati,CM,67.75,light rain,6.4667,12.6333,Tibati Hotel
256,Butka,RU,60.8,overcast clouds,56.7179,63.7866,
258,Agadez,NE,89.53,clear sky,19.75,10.25,
260,Hualmay,PE,63.57,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
263,Buraydah,SA,91.85,clear sky,26.326,43.975,فندق راحة السلام
264,Dali,CN,60.22,overcast clouds,25.7,100.1833,Dali Travelling With Hostel
265,Kahului,US,84.97,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
266,Port-Cartier,CA,61.93,overcast clouds,50.0334,-66.8654,Le Q'Artier
267,Chor,PK,80.11,few clouds,25.5167,69.7667,Asad U Bajeer Hotel
269,Two Hills,CA,77.23,overcast clouds,53.7169,-111.7518,Junction Inn
273,Ponta Do Sol,PT,74.03,scattered clouds,32.6667,-17.1,Hotel do Campo
274,Elban,RU,64.35,moderate rain,50.1018,136.5094,
275,Port Elizabeth,ZA,61.09,scattered clouds,-33.918,25.5701,39 On Nile Guest House
276,Montecristo,CO,81.61,overcast clouds,8.2971,-74.4733,Hotel Maripaz
277,Anito,PH,78.93,broken clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
278,Pitimbu,BR,75.79,clear sky,-7.4706,-34.8086,Reserva do Abiaí
279,Gualaca,PA,79.72,overcast clouds,8.5333,-82.3,Pensión La Florida
280,Hobyo,SO,77.43,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
281,Nelson Bay,AU,55.96,few clouds,-32.7167,152.15,Mantra Nelson Bay
282,Luwuk,ID,75.42,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
284,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Bungalow 63
286,Saint-Philippe,RE,67.59,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
287,Grand-Santi,GF,79.65,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
289,Bemidji,US,64.69,haze,47.4736,-94.8803,Hampton Inn & Suites Bemidji
290,Rusape,ZW,56.14,clear sky,-18.5278,32.1284,Surrey Lodge
291,Isangel,VU,77.11,smoke,-19.55,169.2667,Tanna Lodge
292,Progreso,MX,91.11,clear sky,21.2833,-89.6667,Playa Linda Hotel
293,Ponta Delgada,PT,65.12,few clouds,37.7333,-25.6667,Vila Nova Hotel
294,Srednekolymsk,RU,55.26,overcast clouds,67.45,153.6833,
295,Bardiyah,LY,77.95,clear sky,31.7561,25.0865,بورتو بردية
296,Dutse,NG,78.57,broken clouds,11.7594,9.3392,Central Mosque Galamawa
298,Nazilli,TR,76.55,clear sky,37.9163,28.3223,Gül Palast
299,Itarema,BR,78.98,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
300,Tahoua,NE,85.51,scattered clouds,14.8888,5.2692,Bungalows Guesthouse
301,Bousso,TD,76.28,light rain,10.4795,16.7117,
302,Kjustendil,BG,66.06,overcast clouds,42.2839,22.6911,Hotel Ramira
303,Changping,CN,60.44,clear sky,40.2186,116.2197,Huachang Hotel
304,Bandarbeyla,SO,76.95,broken clouds,9.4942,50.8122,JABIR HOTEL
305,Mnogovershinnyy,RU,57.79,overcast clouds,53.9353,139.9242,Obshchezhitiye 14
306,Svetlyy,RU,55.45,scattered clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
307,Mumbwa,ZM,64.45,clear sky,-14.9783,27.0619,Mumbwa Motel
308,Juneau,US,60.85,light rain,58.3019,-134.4197,"Baranof Downtown, Bw Signature Collection"
310,Kizukuri,JP,72.01,overcast clouds,40.8061,140.3861,Hotel memory
311,Garden City,US,91.49,scattered clouds,42.3256,-83.331,Quality Inn & Suites Banquet Center
312,Suining,CN,65.82,overcast clouds,30.508000000000003,105.5733,IU Hotel Suining Guangfu Building Walking Street
315,Naze,JP,77.92,scattered clouds,28.3667,129.4833,オーベルジュ・アガルイ
316,Vila Franca Do Campo,PT,64.81,few clouds,37.7167,-25.4333,Pestana Bahia Praia
317,Gambo,CF,68.0,overcast clouds,4.6482,22.2633,
318,Correntina,BR,79.45,broken clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
319,Tadine,NC,74.37,broken clouds,-21.55,167.8833,
320,Kosum Phisai,TH,77.41,overcast clouds,16.2486,103.0674,Banrao
321,Borda Da Mata,BR,74.86,broken clouds,-22.2742,-46.1653,Hotel Village
322,Nokaneng,BW,69.64,clear sky,-19.6667,22.2667,
323,Milkovo,RU,62.28,few clouds,54.7167,158.6167,"Hotel ""Geologist"""
325,Kasongo-Lunda,CD,73.65,broken clouds,-6.4667,16.8167,
326,Victoria,HK,84.18,clear sky,22.2855,114.1577,Mini Hotel Central
328,Pandamatenga,BW,65.91,clear sky,-18.5278,25.627,Wildtrack Safaris Eco Lodge
329,Elat,IL,91.24,clear sky,29.5581,34.9482,Club Hotel Eilat
330,Eydhafushi,MV,82.78,overcast clouds,5.1033,73.0708,Soneva Fushi
331,Hay River,CA,78.78,scattered clouds,60.8156,-115.7999,Ptarmigan Inn
332,Bata,GQ,76.64,light rain,1.8639,9.7658,Hotel Elik Melen
333,Yumen,CN,61.77,overcast clouds,40.2833,97.2,
334,Sena Madureira,BR,91.67,overcast clouds,-9.0656,-68.6569,Hotel Central
336,Horta,PT,69.03,overcast clouds,38.5333,-28.6333,Hotel do Canal | Horta - Faial
338,Lazaro Cardenas,MX,84.87,scattered clouds,17.9583,-102.2,quinta antigua
339,Asau,RO,55.96,light rain,46.4333,26.4,Casa Mika Ciobanus
340,Sao Joao Da Barra,BR,73.18,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
341,Eureka,US,83.68,few clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
343,Poum,NC,74.21,clear sky,-20.2333,164.0167,Gîte kajeon
344,Ganta,LR,69.82,overcast clouds,7.3022,-8.5308,
345,Airai,TL,56.28,few clouds,-8.9266,125.4092,Juvinal Martin
347,Djibo,BF,77.9,overcast clouds,14.1022,-1.6306,Centre Des Ressources DPENA
348,Castro,BR,63.82,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
350,Serra Talhada,BR,78.51,few clouds,-7.9919,-38.2983,Pousada São Luiz
351,Namatanai,PG,81.75,light rain,-3.6667,152.4333,Seagulls Inn Namatani
353,Kaiyuan,CN,63.18,overcast clouds,23.6977,103.3037,Dongqi Hotel
354,Makakilo City,US,86.32,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
355,Champerico,GT,82.35,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
356,Harlingen,US,93.25,few clouds,26.1906,-97.6961,Courtyard by Marriott Harlingen
357,Bubaque,GW,78.15,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
358,Taoudenni,ML,88.27,overcast clouds,22.6783,-3.9836,
359,Ibra,OM,85.19,broken clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
360,Vostok,RU,61.29,light rain,46.4856,135.8833,
361,Banda Aceh,ID,77.99,overcast clouds,5.5577,95.3222,Sulthan Hotel International
362,Kasungu,MW,63.57,clear sky,-13.0333,33.4833,Mame Motel
364,Lypova Dolyna,UA,61.21,light rain,50.5643,33.7979,Олівія
365,Moron,AR,64.98,clear sky,-34.6534,-58.6198,Hotel Morón
366,Bay Roberts,CA,59.04,clear sky,47.5999,-53.2648,Stonewall Inn
367,Boyolangu,ID,69.73,scattered clouds,-8.1181,111.8935,Yos ega cv
368,Vavuniya,LK,78.1,broken clouds,8.7514,80.4971,Thampa Hotel
369,Uruzgan,AF,69.4,clear sky,32.8333,66.0,
371,Talaya,RU,55.51,light rain,61.3833,152.75,
375,Auburn,US,73.71,light rain,47.3073,-122.2284,La Quinta Inn & Suites by Wyndham Auburn
376,Smithers,CA,59.32,light intensity shower rain,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
377,Turukhansk,RU,57.27,moderate rain,65.8167,87.9833,"ООО ""Туруханская пушнина"""
378,Warrington,GB,58.26,clear sky,53.3925,-2.5802,Patten Arms Hotel
379,Rabo De Peixe,PT,63.91,few clouds,37.8,-25.5833,Quinta das Giestas
381,Yabelo,ET,61.83,scattered clouds,4.8833,38.0833,Asnakech W/michael
382,Plettenberg Bay,ZA,56.82,light rain,-34.0527,23.3716,Thanda Vista B&B
383,Filingue,NE,82.42,broken clouds,14.3521,3.3168,
384,Aklavik,CA,68.83,broken clouds,68.2191,-135.0107,Aklavik Inn
385,Dalhousie,IN,60.76,broken clouds,32.5333,75.9833,Hotel Mount View
386,Trinidad,BO,80.17,clear sky,-14.8333,-64.9,Hotel Piesta
388,Antananarivo,MG,57.16,broken clouds,-18.9137,47.5361,Hotel Carlton
389,Flinders,AU,55.18,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
390,Benguela,AO,70.02,broken clouds,-12.5763,13.4055,Hotel Praia Morena
391,Bilma,NE,93.85,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
392,Ninghai,CN,80.28,broken clouds,29.2892,121.4247,Kaiyuan New Century Hotel
393,San Juan,AR,67.26,clear sky,-31.5375,-68.5364,Hotel Provincial
394,Gat,IL,81.28,clear sky,31.61,34.7642,OlusHome
395,Bombay,IN,80.58,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar
396,Awjilah,LY,81.88,clear sky,29.1081,21.2869,
397,Huarmey,PE,65.08,scattered clouds,-10.0681,-78.1522,Hotel Miramar
398,Iquitos,PE,86.04,heavy intensity rain,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
399,Jaguaribe,BR,86.59,few clouds,-5.8906,-38.6219,Hotel Pinheiro
400,Taman,RU,68.32,broken clouds,45.2117,36.7161,Staryy Gorod G. Taman
401,Jaguaruna,BR,59.16,overcast clouds,-28.615,-49.0256,Pousada Recanto das Flores Jaguaruna
402,Koster,ZA,56.89,few clouds,-25.863000000000003,26.8976,Klub Kranskuil
403,Bell Ville,AR,60.67,clear sky,-32.6259,-62.6887,Hotel Central
404,San Luis,AR,58.96,few clouds,-33.295,-66.3356,Huarpes Hotel
406,Upata,VE,74.95,broken clouds,8.0086,-62.3989,Posada Villa Nela
408,Chengde,CN,55.36,clear sky,40.9725,117.9361,Super 8 Hotel
409,Chingola,ZM,66.04,few clouds,-12.529000000000002,27.8838,Protea Hotel by Marriott Chingola
410,Innisfail,AU,71.94,overcast clouds,-17.5333,146.0333,Moondarra Motel
411,Chihuahua,MX,86.83,scattered clouds,28.5,-106.0,
412,Saint-Augustin,CA,60.39,overcast clouds,51.226000000000006,-58.6502,
413,Takaka,NZ,56.97,overcast clouds,-40.85,172.8,Golden Bay Motels
416,Mount Isa,AU,58.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
417,Douglas,US,93.07,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
418,Rudbar,AF,80.89,clear sky,30.15,62.6,
419,Alta Floresta,BR,89.83,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
420,Xinxiang,CN,63.72,light rain,35.3089,113.8672,Guoyu Holiday Inn
421,Vestmannaeyjar,IS,55.24,overcast clouds,63.4427,-20.2734,Glamping & Camping
422,Jiayuguan,CN,58.26,overcast clouds,39.8167,98.3,Jiugang Hotel - Jiayuguan
423,Baherden,TM,83.43,clear sky,38.4362,57.4316,
424,Palmerston,AU,73.89,clear sky,-12.485999999999999,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
425,Tallahassee,US,89.69,broken clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
427,Tolaga Bay,NZ,57.31,overcast clouds,-38.3667,178.3,Tolaga Bay Motel
428,Kalawit,PH,76.86,overcast clouds,8.0667,122.5167,Ompoy Pension House
429,Halifax,CA,82.42,clear sky,44.6453,-63.5724,Hotel Halifax
430,Sao Felix Do Xingu,BR,86.05,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
432,La Rioja,ES,68.04,clear sky,42.25,-2.5,Casa Concejos
433,Roma,US,87.94,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
434,Sarab,IR,74.28,clear sky,38.6066,44.9883,مسجد امام رضا
