City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
48,Kavieng,PG,2020-08-27 18:17:08,-2.57,150.8,300.93,75,12,3.96,light rain,0.72,0
49,Ponta Do Sol,PT,2020-08-27 18:17:08,32.67,-17.1,302.04,65,20,10.3,few clouds,0.0,0
50,Bethel,US,2020-08-27 18:17:09,41.37,-73.41,302.59,69,79,1.34,broken clouds,0.0,0
51,Narsaq,GL,2020-08-27 18:17:10,60.92,-46.05,284.15,66,75,4.1,broken clouds,0.0,0
52,Krasnyy Oktyabr,RU,2020-08-27 18:17:10,56.12,38.88,287.82,90,62,2.82,light rain,0.36,0
53,Aguimes,ES,2020-08-27 18:17:11,27.91,-15.45,308.15,28,0,10.3,clear sky,0.0,0
54,Bredasdorp,ZA,2020-08-27 18:17:12,-34.53,20.04,285.15,87,2,1.0,clear sky,0.0,0
55,Havre-Saint-Pierre,CA,2020-08-27 18:17:12,50.23,-63.6,288.15,54,75,8.2,broken clouds,0.0,0
56,Port Alfred,ZA,2020-08-27 18:17:13,-33.59,26.89,289.8,82,0,3.41,clear sky,0.0,0
57,Hasaki,JP,2020-08-27 18:14:31,35.73,140.83,300.15,94,75,3.03,shower rain,0.0,0
58,Kapaa,US,2020-08-27 18:17:14,22.08,-159.32,298.71,100,75,5.7,broken clouds,0.0,0
59,Puerto Ayora,EC,2020-08-27 18:17:15,-0.74,-90.35,296.15,64,20,10.3,few clouds,0.0,0
60,Port Hardy,CA,2020-08-27 18:17:16,50.7,-127.42,285.15,93,90,2.6,mist,0.0,0
61,Natchitoches,US,2020-08-27 18:17:16,31.77,-93.13,296.15,94,100,7.7,overcast clouds,0.0,0
62,Kodiak,US,2020-08-27 18:17:17,57.79,-152.41,284.15,87,90,2.1,overcast clouds,0.0,0
63,Cape Town,ZA,2020-08-27 18:17:18,-33.93,18.42,288.71,76,75,2.6,light rain,0.0,0
64,Husavik,IS,2020-08-27 18:17:18,66.04,-17.34,286.15,50,75,6.7,broken clouds,0.0,0
65,New Norfolk,AU,2020-08-27 18:17:19,-42.78,147.06,281.48,74,7,1.79,clear sky,0.0,0
66,San Patricio,MX,2020-08-27 18:17:20,19.22,-104.7,298.15,100,90,15.4,moderate rain,0.0,0
67,Okhotsk,RU,2020-08-27 18:17:20,59.38,143.3,284.67,71,92,2.21,overcast clouds,0.0,0
68,Souillac,MU,2020-08-27 18:17:21,-20.52,57.52,295.15,83,75,5.7,shower rain,0.0,0
69,Russell,US,2020-08-27 18:17:22,32.35,-85.2,306.15,59,40,4.1,scattered clouds,0.0,0
70,Quatre Cocos,MU,2020-08-27 18:17:22,-20.21,57.76,295.15,83,75,5.7,shower rain,0.0,0
71,Kiruna,SE,2020-08-27 18:17:23,67.86,20.23,280.15,75,44,2.1,scattered clouds,0.0,0
72,Ancud,CL,2020-08-27 18:14:02,-41.87,-73.82,282.59,81,96,8.7,light rain,0.26,0
73,Nanortalik,GL,2020-08-27 18:17:24,60.14,-45.24,282.77,69,98,4.68,overcast clouds,0.0,0
74,Bodden Town,KY,2020-08-27 18:17:25,19.28,-81.25,305.37,79,75,6.2,broken clouds,0.0,0
75,Iranshahr,IR,2020-08-27 18:17:26,27.2,60.68,311.15,15,40,5.1,scattered clouds,0.0,0
76,Tasiilaq,GL,2020-08-27 18:17:27,65.61,-37.64,277.15,80,20,4.6,fog,0.0,0
77,Ponta Delgada,PT,2020-08-27 18:17:27,37.73,-25.67,298.15,88,40,3.6,scattered clouds,0.0,0
78,Mar Del Plata,AR,2020-08-27 18:14:23,-38.0,-57.56,292.15,37,0,5.1,clear sky,0.0,0
79,Gafanha Da Encarnacao,PT,2020-08-27 18:17:29,40.62,-8.73,298.15,89,38,4.47,scattered clouds,0.0,0
80,Cape Coast,GH,2020-08-27 18:16:56,5.11,-1.25,297.76,84,46,5.12,scattered clouds,0.0,0
81,Karratha,AU,2020-08-27 18:17:30,-20.74,116.85,297.25,51,0,3.44,clear sky,0.0,0
82,Miram Shah,PK,2020-08-27 18:17:30,33.01,70.07,297.54,76,76,1.06,broken clouds,0.0,0
83,Shingu,JP,2020-08-27 18:17:31,33.73,135.98,297.89,85,0,3.3,clear sky,0.0,0
84,Synya,RU,2020-08-27 18:17:32,65.37,58.04,285.22,95,99,1.82,overcast clouds,0.0,0
85,Pointe Michel,DM,2020-08-27 18:17:32,15.25,-61.38,307.15,67,20,1.5,few clouds,0.0,0
86,Hobart,AU,2020-08-27 18:16:45,-42.88,147.33,282.04,52,75,4.6,broken clouds,0.0,0
87,Cidreira,BR,2020-08-27 18:17:35,-30.18,-50.21,293.47,62,80,4.07,broken clouds,0.0,0
88,Flin Flon,CA,2020-08-27 18:17:35,54.77,-101.86,295.15,43,75,5.7,broken clouds,0.0,0
89,Thompson,CA,2020-08-27 18:17:36,55.74,-97.86,292.15,68,75,3.1,broken clouds,0.0,0
